chapter_title,chapter_nr,book_title
19. The Choice of a Patch,19,A Memory of Light
20. Into Thakan'dar,20,A Memory of Light
21. Not a Mistake to Ignore,21,A Memory of Light
22. The Wyld,22,A Memory of Light
23. At the Edge of Time,23,A Memory of Light
24. To Ignore the Omens,24,A Memory of Light
25. Quick Fragments,25,A Memory of Light
26. Considerations,26,A Memory of Light
27. Friendly Fire,27,A Memory of Light
28. Too Many Men,28,A Memory of Light
29. The Loss of a Hill,29,A Memory of Light
30. The Way of the Predator,30,A Memory of Light
31. A Tempest of Water,31,A Memory of Light
32. A Yellow Flower-Spider,32,A Memory of Light
33. The Prince's Tabac,33,A Memory of Light
34. Drifting,34,A Memory of Light
35. A Practiced Grin,35,A Memory of Light
36. Unchangeable Things,36,A Memory of Light
37. The Last Battle,37,A Memory of Light
38. The Place That Was Not,38,A Memory of Light
39. Those Who Fight,39,A Memory of Light
40. Wolfbrother,40,A Memory of Light
41. A Smile,41,A Memory of Light
42. Impossibilities,42,A Memory of Light
43. A Field of Glass,43,A Memory of Light
44. Two Craftsmen,44,A Memory of Light
45. Tendrils of Mist,45,A Memory of Light
46. To Awaken,46,A Memory of Light
47. Watching the Flow Writhe,47,A Memory of Light
48. A Brilliant Lance,48,A Memory of Light
49. Light and Shadow,49,A Memory of Light
Epilogue: To See the Answer,Epilogue,A Memory of Light
